date,revenue_cr,price
2025-11-19,15.713661,2898.3
2025-11-20,26.467005,2895.5
2025-11-21,6.393689,2858.3
2025-11-24,5.754281,2802.2
2025-11-25,6.167906,2840.6
2025-11-26,16.605166,2886.7
2025-11-27,33.038789,2929.1
2025-11-28,5.827154,2902.4
2025-12-01,7.116309,2886.6
2025-12-02,5.890776,2843.2
2025-12-03,17.558354,2751.1
2025-12-04,31.457133,2765.0
2025-12-05,7.192561,2815.9
2025-12-08,7.469396,2798.8
2025-12-09,8.06092,2715.8
2025-12-10,22.468279,2581.7
2025-12-11,35.536243,2698.8
2025-12-12,7.007914,2735.0
2025-12-15,6.702356,2648.9
2025-12-16,6.022454,2605.9
2025-12-17,17.245441,2630.5
2025-12-18,29.608293,2682.9
2025-12-19,6.249452,2684.8
2025-12-22,4.975683,2775.5
2025-12-23,5.794796,2737.5
2025-12-24,21.766104,2670.9
2025-12-26,4.180991,2649.0
2025-12-29,5.27946,2628.3
2025-12-30,5.746007,2581.0
2025-12-31,16.714879,2632.2
2026-01-01,24.380356,2628.0
2026-01-02,5.233922,2666.5
2026-01-05,8.145193,2673.9
2026-01-06,7.3863,2706.3
2026-01-07,18.728784,2744.9
2026-01-08,30.556707,2694.0
2026-01-09,9.068806,2669.5
2026-01-12,10.976162,2790.6
2026-01-13,11.903628,2832.0
2026-01-14,38.557907,2836.8
2026-01-16,9.792531,2808.7
2026-01-19,9.077221,2726.7
2026-01-20,8.837127,2653.4
2026-01-21,36.990634,2628.8
2026-01-22,50.055128,2708.6
2026-01-23,10.130737,2685.4
2026-01-27,11.455407,2761.2
2026-01-28,31.206844,2821.5
2026-01-29,45.256088,2861.6
2026-01-30,9.835486,2797.0
2026-02-01,16.814053,2578.1
2026-02-02,12.01613,2701.6
2026-02-03,13.700628,2860.8
2026-02-04,25.088975,2896.3
2026-02-05,34.156304,2892.2
2026-02-06,8.822691,2897.0
2026-02-09,6.243604,2985.1
2026-02-10,6.407605,3174.2
2026-02-11,17.595916,3177.1
2026-02-12,28.613625,3143.2
2026-02-13,7.486083,3025.3
2026-02-16,7.9675,2804.6
2026-02-17,7.812482,2742.3
2026-02-18,20.931466,2824.0
2026-02-19,39.125115,2741.4
2026-02-20,10.15217,2739.5
2026-02-23,8.331437,2725.3
2026-02-24,8.764176,2751.1
2026-02-25,27.44636,2772.7
2026-02-26,43.470718,2800.9
2026-02-27,8.584426,2707.1
2026-03-02,12.529835,2643.6
2026-03-04,35.119764,2626.9
2026-03-05,54.525349,2761.4
2026-03-06,9.391404,2751.6
2026-03-09,11.39715,2768.9
2026-03-10,8.83129,2860.6
2026-03-11,31.789122,2837.4
2026-03-12,51.297236,2850.6
2026-03-13,9.243298,2797.0
2026-03-16,12.26783,2862.6
2026-03-17,10.689292,2973.6
2026-03-18,28.140308,2995.6
2026-03-19,45.70762,2895.0
2026-03-20,10.354611,2806.1
2026-03-23,10.905393,2714.4
2026-03-24,14.82997,2805.9
2026-03-25,47.8411,2890.2
2026-03-27,7.471649,2779.8
2026-03-30,9.099773,2683.5
2026-04-01,28.917339,2867.6
2026-04-02,56.024138,2851.4
2026-04-06,11.25713,2982.3
2026-04-07,9.719716,2950.8
2026-04-08,28.087381,3163.6
2026-04-09,51.321875,3257.4
2026-04-10,7.202895,3281.2
2026-04-13,8.432907,3303.6
2026-04-15,23.306704,3390.7
2026-04-16,46.185397,3446.7
2026-04-17,6.667255,3531.5
2026-04-20,8.331447,3470.7
2026-04-21,6.432455,3515.8
2026-04-22,22.364396,3499.2
